,Movie_Script,Movie_Trope
334,tincup,TinCup
335,sweethereafterthe,TheSweetHereafter
336,greenmilethe,TheGreenMile
337,americangraffiti,AmericanGraffiti
338,uturn,UTurn
339,ali,Ali
340,spartan,Spartan
341,marypoppins,MaryPoppins
342,memento,Memento
343,otherboleyngirlthe,TheOtherBoleynGirl
344,colombiana,Colombiana
345,butterflyeffectthe,TheButterflyEffect
346,afewgoodmen,AFewGoodMen
347,tinmen,TinMen
348,castaway,CastAway
349,sixthsensethe,TheSixthSense
350,hitchcock,Hitchcock
351,pleasantville,Pleasantville
352,janeeyre,JaneEyre
353,touristthe,TheTourist
354,angeleyes,AngelEyes
355,nashville,Nashville
356,bladerunner,BladeRunner
357,kundun,Kundun
358,intothewild,IntoTheWild
359,metro,Metro
360,savethelastdance,SaveTheLastDance
361,trumanshowthe,TheTrumanShow
362,moonstruck,Moonstruck
363,midnightexpress,MidnightExpress
364,absolutepower,AbsolutePower
365,enough,Enough
366,americangangster,AmericanGangster
367,icestormthe,TheIceStorm
368,barrylyndon,BarryLyndon
369,bigfish,BigFish
370,cincinnatikidthe,TheCincinnatiKid
371,godsandmonsters,GodsAndMonsters
372,strangedays,StrangeDays
373,itsawonderfullife,ItsAWonderfulLife
374,zerodarkthirty,ZeroDarkThirty
375,faceoff,FaceOff
376,bourneidentitythe,TheBourneIdentity
377,constantine,Constantine
378,startreknemesis,StarTrekNemesis
379,privatelifeofsherlockholmesthe,ThePrivateLifeOfSherlockHolmes
380,meetjoeblack,MeetJoeBlack
381,gingersnaps,GingerSnaps
382,daytheclowncriedthe,TheDayTheClownCried
383,adaptation,Adaptation
384,shallowgrave,ShallowGrave
385,shakespeareinlove,ShakespeareInLove
386,debtthe,TheDebt
387,queenthe,TheQueen
388,pianothe,ThePiano
389,helpthe,TheHelp
390,masterthe,TheMaster
391,crowthe,TheCrow
392,birdsthe,TheBirds
393,ninesthe,TheNines
394,stingthe,TheSting
395,siegethe,TheSiege
396,americanthe,TheAmerican
397,maskthe,TheMask
398,boxthe,TheBox
