,Movie_Script,Movie_Trope
0,detroitrockcity,DetroitRockCity
1,burlesque,Burlesque
2,ducksoup,DuckSoup
3,sweeneytoddthedemonbarberoffleetstreet,SweeneyToddTheDemonBarberOfFleetStreet
4,whitechristmas,WhiteChristmas
5,labyrinth,Labyrinth
6,sisteract,SisterAct
7,newsies,Newsies
8,anastasia,Anastasia
9,marypoppins,MaryPoppins
10,nashville,Nashville
11,thewizardofoz,TheWizardOfOz
12,therockyhorrorpictureshow,TheRockyHorrorPictureShow
